ID,Instancia,Método,Parámetro,T. ejecución,T. construcción,T. mejora,V. total,V. solapamiento,V. 8h,V. 6h,V. tiempo muerto,V. créditos
1624998907557,t3.123.33,first,0.0,72,15,57,55,42,0,0,13,0
1624998908573,t3.123.33,first,0.0,50,16,34,36,24,0,0,0,6
1624998908864,t3.123.33,first,0.0,65,12,53,66,66,0,0,0,0
1624998908930,t3.123.33,first,0.0,48,29,19,91,72,0,0,19,0
1624998908980,t3.123.33,first,0.0,87,16,71,54,54,0,0,0,0
1624998909496,t3.123.33,first,0.0,62,30,32,48,48,0,0,0,0
1624998910096,t3.123.33,first,0.0,81,16,65,54,54,0,0,0,0
1624998910759,t3.123.33,first,0.0,35,7,28,60,60,0,0,0,0
1624998911460,t3.123.33,first,0.0,76,23,53,42,42,0,0,0,0
1624998912178,t3.123.33,first,0.0,97,0,97,49,36,0,0,13,0
1624998912826,t3.123.33,first,0.0,55,17,38,36,36,0,0,0,0
1624998912883,t3.123.33,first,0.0,107,12,95,49,36,0,0,13,0
1624998912992,t3.123.33,first,0.0,61,16,45,79,60,0,0,19,0
1624998913308,t3.123.33,first,0.0,71,36,35,61,36,0,0,13,6
1624998913928,t3.123.33,first,0.0,64,20,44,85,66,0,0,19,0
1624998914927,t3.123.33,first,0.0,31,0,31,60,60,0,0,0,0
1624998914960,t3.123.33,first,0.0,86,0,86,49,36,0,0,13,0
1624998916093,t3.123.33,first,0.0,73,16,57,54,54,0,0,0,0
1624998916168,t3.123.33,first,0.0,29,11,18,60,60,0,0,0,0
1624998916199,t3.123.33,first,0.0,55,14,41,60,60,0,0,0,0
1624998916256,t3.123.33,first,0.0,51,11,40,55,36,0,0,19,0
1624998917652,t3.123.33,first,0.0,98,16,82,66,66,0,0,0,0
1624998917752,t3.123.33,first,0.0,51,12,39,54,54,0,0,0,0
1624998917804,t3.123.33,first,0.0,55,15,40,55,42,0,0,13,0
1624998917860,t3.123.33,first,0.0,40,24,16,42,42,0,0,0,0
1624998919293,t3.123.33,first,0.0,91,37,54,48,48,0,0,0,0
1624998920157,t3.123.33,first,0.0,50,0,50,72,72,0,0,0,0
1624998920225,t3.123.33,first,0.0,52,12,40,48,48,0,0,0,0
1624998920279,t3.123.33,first,0.0,127,53,74,55,42,0,0,13,0
1624998921006,t3.123.33,first,0.0,68,41,27,48,48,0,0,0,0
1624998921575,t3.123.33,first,0.0,61,16,45,42,42,0,0,0,0
1624998921638,t3.123.33,first,0.0,65,16,49,48,48,0,0,0,0
1624998922324,t3.123.33,first,0.0,46,29,17,36,36,0,0,0,0
1624998923473,t3.123.33,first,0.0,59,15,44,49,36,0,0,13,0
1624998924347,t3.123.33,first,0.0,53,15,38,24,24,0,0,0,0
1624998924401,t3.123.33,first,0.0,55,18,37,36,24,0,0,0,6
1624998924457,t3.123.33,first,0.0,72,16,56,60,48,0,0,0,6
1624998924890,t3.123.33,first,0.0,41,23,18,48,48,0,0,0,0
1624998924932,t3.123.33,first,0.0,55,13,42,36,36,0,0,0,0
