ID,Instancia,Método,Parámetro,T. ejecución,T. construcción,T. mejora,V. total,V. solapamiento,V. 8h,V. 6h,V. tiempo muerto,V. créditos
1624998289559,t3.123.33,first,1,101,36,65,24,24,0,0,0,0
1624998289676,t3.123.33,first,1,81,14,67,24,24,0,0,0,0
1624998289794,t3.123.33,first,1,85,23,62,24,24,0,0,0,0
1624998289942,t3.123.33,first,1,88,16,72,24,24,0,0,0,0
1624998290077,t3.123.33,first,1,84,22,62,24,24,0,0,0,0
1624998290193,t3.123.33,first,1,99,15,84,24,24,0,0,0,0
1624998290326,t3.123.33,first,1,118,40,78,24,24,0,0,0,0
1624998290475,t3.123.33,first,1,102,28,74,24,24,0,0,0,0
1624998290608,t3.123.33,first,1,93,27,66,24,24,0,0,0,0
1624998290826,t3.123.33,first,1,85,16,69,24,24,0,0,0,0
1624998290927,t3.123.33,first,1,84,15,69,24,24,0,0,0,0
1624998291043,t3.123.33,first,1,84,16,68,24,24,0,0,0,0
1624998291127,t3.123.33,first,1,86,16,70,24,24,0,0,0,0
1624998291277,t3.123.33,first,1,84,1,83,24,24,0,0,0,0
1624998291393,t3.123.33,first,1,84,15,69,24,24,0,0,0,0
1624998291477,t3.123.33,first,1,85,19,66,24,24,0,0,0,0
1624998291593,t3.123.33,first,1,83,26,57,24,24,0,0,0,0
1624998291692,t3.123.33,first,1,87,16,71,24,24,0,0,0,0
1624998291794,t3.123.33,first,1,82,14,68,24,24,0,0,0,0
1624998291927,t3.123.33,first,1,86,0,86,24,24,0,0,0,0
1624998292060,t3.123.33,first,1,83,15,68,24,24,0,0,0,0
1624998292143,t3.123.33,first,1,84,0,84,24,24,0,0,0,0
1624998292258,t3.123.33,first,1,99,28,71,24,24,0,0,0,0
1624998292375,t3.123.33,first,1,85,18,67,24,24,0,0,0,0
1624998292509,t3.123.33,first,1,88,0,88,24,24,0,0,0,0
1624998292628,t3.123.33,first,1,93,16,77,24,24,0,0,0,0
1624998292738,t3.123.33,first,1,83,19,64,24,24,0,0,0,0
1624998292842,t3.123.33,first,1,85,16,69,24,24,0,0,0,0
1624998293026,t3.123.33,first,1,84,28,56,24,24,0,0,0,0
1624998293173,t3.123.33,first,1,103,33,70,24,24,0,0,0,0
1624998293292,t3.123.33,first,1,83,18,65,24,24,0,0,0,0
1624998293375,t3.123.33,first,1,88,13,75,24,24,0,0,0,0
1624998293493,t3.123.33,first,1,85,27,58,24,24,0,0,0,0
1624998293609,t3.123.33,first,1,85,0,85,24,24,0,0,0,0
1624998293709,t3.123.33,first,1,86,16,70,24,24,0,0,0,0
1624998293826,t3.123.33,first,1,108,15,93,24,24,0,0,0,0
1624998293968,t3.123.33,first,1,82,27,55,24,24,0,0,0,0
1624998294074,t3.123.33,first,1,85,26,59,24,24,0,0,0,0
1624998294175,t3.123.33,first,1,100,33,67,24,24,0,0,0,0
1624998294291,t3.123.33,first,1,86,27,59,24,24,0,0,0,0
1624998294408,t3.123.33,first,1,101,16,85,24,24,0,0,0,0
1624998294509,t3.123.33,first,1,83,18,65,24,24,0,0,0,0
1624998294624,t3.123.33,first,1,86,23,63,24,24,0,0,0,0
1624998294726,t3.123.33,first,1,86,0,86,24,24,0,0,0,0
1624998294858,t3.123.33,first,1,86,16,70,24,24,0,0,0,0
1624998294959,t3.123.33,first,1,87,14,73,24,24,0,0,0,0
1624998295091,t3.123.33,first,1,87,15,72,24,24,0,0,0,0
1624998295209,t3.123.33,first,1,100,16,84,24,24,0,0,0,0
1624998295324,t3.123.33,first,1,86,0,86,24,24,0,0,0,0
1624998295442,t3.123.33,first,1,98,29,69,24,24,0,0,0,0
1624998295656,t3.123.33,first,1,90,19,71,24,24,0,0,0,0
1624998295840,t3.123.33,first,1,88,19,69,24,24,0,0,0,0
1624998296006,t3.123.33,first,1,86,15,71,24,24,0,0,0,0
1624998296108,t3.123.33,first,1,99,31,68,24,24,0,0,0,0
1624998296222,t3.123.33,first,1,71,0,71,24,24,0,0,0,0
1624998296341,t3.123.33,first,1,83,15,68,24,24,0,0,0,0
1624998296424,t3.123.33,first,1,84,25,59,24,24,0,0,0,0
1624998296508,t3.123.33,first,1,86,16,70,24,24,0,0,0,0
1624998296625,t3.123.33,first,1,88,0,88,24,24,0,0,0,0
1624998296775,t3.123.33,first,1,83,17,66,24,24,0,0,0,0
1624998296890,t3.123.33,first,1,85,27,58,24,24,0,0,0,0
1624998296991,t3.123.33,first,1,92,16,76,24,24,0,0,0,0
1624998297115,t3.123.33,first,1,82,21,61,24,24,0,0,0,0
1624998297240,t3.123.33,first,1,88,29,59,24,24,0,0,0,0
1624998297374,t3.123.33,first,1,87,15,72,24,24,0,0,0,0
1624998297508,t3.123.33,first,1,83,19,64,24,24,0,0,0,0
