Instancia;Método;Parámetro;T. ejecución;V. total;V. solapamiento;V. 8h;V. 6h;V. tiempo muerto;V. créditos
t1.1;first;3;3;19;0;0;0;19;0
t1.1;first;3;3;19;0;0;0;19;0
t1.1;first;3;3;19;0;0;0;19;0
t1.1;first;3;6;19;0;0;0;19;0
t1.1;first;3;4;43;12;0;0;31;0
t1.1;first;3;4;0;0;0;0;0;0
t1.1;first;3;2;19;0;0;0;19;0
t1.1;first;3;2;19;0;0;0;19;0
t1.1;first;3;3;0;0;0;0;0;0
t1.1;first;3;3;19;0;0;0;19;0
t1.1;first;3;5;19;0;0;0;19;0
t1.1;first;3;4;19;0;0;0;19;0
t1.1;first;3;6;19;0;0;0;19;0
t1.1;first;3;3;43;12;0;0;31;0
t1.1;first;3;7;19;0;0;0;19;0
t1.1;first;3;3;19;0;0;0;19;0
t1.1;first;3;6;19;0;0;0;19;0
t1.1;first;3;5;43;12;0;0;31;0
t1.1;first;3;2;19;0;0;0;19;0
t1.1;first;3;8;19;0;0;0;19;0
t1.1;first;3;9;31;12;0;0;19;0
t1.1;first;3;4;19;0;0;0;19;0
t1.1;first;3;6;12;12;0;0;0;0
t1.1;first;3;5;19;0;0;0;19;0
t1.1;first;3;4;43;12;0;0;31;0
t1.1;first;3;4;43;24;0;0;19;0
t1.1;first;3;5;55;24;0;0;31;0
t1.1;first;3;4;55;24;0;0;31;0
t1.1;first;3;5;19;0;0;0;19;0
t1.1;first;3;3;43;12;0;0;31;0
t1.1;first;3;2;19;0;0;0;19;0
t1.1;first;4;4;24;24;0;0;0;0
t1.1;first;4;4;19;0;0;0;19;0
t1.1;first;4;3;50;0;0;0;50;0
t1.1;first;4;6;19;0;0;0;19;0
t1.1;first;4;4;24;24;0;0;0;0
t1.1;first;4;4;12;12;0;0;0;0
t1.1;first;4;5;31;12;0;0;19;0
t1.1;first;4;6;55;24;0;0;31;0
t1.1;first;4;6;31;12;0;0;19;0
t1.1;first;4;3;19;0;0;0;19;0
t1.1;first;4;3;19;0;0;0;19;0
t1.1;first;4;3;19;0;0;0;19;0
t1.1;first;4;3;43;12;0;0;31;0
t1.1;first;4;4;24;24;0;0;0;0
t1.1;first;4;3;31;0;0;0;31;0
t1.1;first;4;3;0;0;0;0;0;0
t1.1;first;4;3;12;12;0;0;0;0
t1.1;first;4;5;43;24;0;0;19;0
t1.1;first;4;3;43;12;0;0;31;0
t1.1;first;4;6;12;12;0;0;0;0
t1.1;first;4;4;19;0;0;0;19;0
t1.1;first;4;2;0;0;0;0;0;0
t1.1;first;4;5;43;12;0;0;31;0
t1.1;first;4;5;43;24;0;0;19;0
t1.1;first;4;3;19;0;0;0;19;0
t1.1;first;4;4;19;0;0;0;19;0
t1.1;first;4;4;19;0;0;0;19;0
t1.1;first;4;4;55;24;0;0;31;0
t1.1;first;4;4;38;0;0;0;38;0
t1.1;first;4;3;43;12;0;0;31;0
t1.1;first;4;3;31;12;0;0;19;0
t1.1;first;4;3;12;12;0;0;0;0
t1.1;first;4;4;24;24;0;0;0;0
t1.1;first;4;7;19;0;0;0;19;0
t1.1;first;4;4;31;0;0;0;31;0
t1.1;first;4;7;57;0;0;0;57;0
t1.1;first;4;4;19;0;0;0;19;0
t1.1;first;4;3;43;12;0;0;31;0
t1.1;first;4;3;43;24;0;0;19;0
t1.1;first;4;4;43;12;0;0;31;0
t1.1;first;4;4;24;24;0;0;0;0
t1.1;first;4;4;12;12;0;0;0;0
t1.1;first;4;3;31;0;0;0;31;0
t1.1;first;4;8;19;0;0;0;19;0
t1.1;first;4;4;43;24;0;0;19;0
t1.1;first;4;3;31;0;0;0;31;0
t1.1;first;4;3;19;0;0;0;19;0
t1.1;first;4;7;67;36;0;0;31;0
t1.1;first;4;4;12;12;0;0;0;0
t1.1;first;4;3;43;24;0;0;19;0
t1.1;first;5;5;31;0;0;0;31;0
