ID,Instancia,Método,Parámetro,T. ejecución,T. construcción,T. mejora,V. total,V. solapamiento,V. 8h,V. 6h,V. tiempo muerto,V. créditos
1624999285765,t3.123.33,first,1,361,0,361,106,36,0,0,70,0
1624999286158,t3.123.33,first,1,533,18,515,87,36,0,0,51,0
1624999286722,t3.123.33,first,1,367,16,351,87,36,0,0,51,0
1624999287089,t3.123.33,first,1,445,0,445,93,42,0,0,51,0
1624999287566,t3.123.33,first,1,581,0,581,24,24,0,0,0,0
1624999288162,t3.123.33,first,1,534,16,518,42,42,0,0,0,0
1624999288712,t3.123.33,first,1,454,19,435,30,30,0,0,0,0
1624999289166,t3.123.33,first,1,391,0,391,81,30,0,0,51,0
1624999289604,t3.123.33,first,1,408,0,408,68,36,0,0,32,0
1624999290043,t3.123.33,first,1,410,16,394,30,30,0,0,0,0
1624999290499,t3.123.33,first,1,438,0,438,24,24,0,0,0,0
1624999290937,t3.123.33,first,1,370,0,370,56,24,0,0,32,0
1624999291354,t3.123.33,first,1,351,15,336,68,36,0,0,32,0
1624999291705,t3.123.33,first,1,360,0,360,56,24,0,0,32,0
1624999292081,t3.123.33,first,1,487,16,471,56,24,0,0,32,0
1624999292568,t3.123.33,first,1,454,0,454,36,36,0,0,0,0
1624999293053,t3.123.33,first,1,305,0,305,49,30,0,0,19,0
1624999293374,t3.123.33,first,1,352,0,352,75,24,0,0,51,0
1624999293726,t3.123.33,first,1,550,17,533,18,18,0,0,0,0
1624999294276,t3.123.33,first,1,486,0,486,56,24,0,0,32,0
1624999294777,t3.123.33,first,1,565,0,565,24,24,0,0,0,0
1624999295357,t3.123.33,first,1,312,0,312,56,24,0,0,32,0
1624999295671,t3.123.33,first,1,346,7,339,24,24,0,0,0,0
1624999296018,t3.123.33,first,1,327,0,327,30,30,0,0,0,0
1624999296377,t3.123.33,first,1,408,0,408,68,36,0,0,32,0
1624999296816,t3.123.33,first,1,532,0,532,87,36,0,0,51,0
1624999297364,t3.123.33,first,1,373,0,373,56,24,0,0,32,0
1624999297785,t3.123.33,first,1,533,0,533,87,36,0,0,51,0
1624999298337,t3.123.33,first,1,469,0,469,99,48,0,0,51,0
1624999298839,t3.123.33,first,1,381,0,381,87,36,0,0,51,0
1624999299250,t3.123.33,first,1,370,0,370,106,36,0,0,70,0
1624999299667,t3.123.33,first,1,533,0,533,87,36,0,0,51,0
1624999300200,t3.123.33,first,1,299,0,299,56,24,0,0,32,0
1624999300530,t3.123.33,first,1,408,0,408,87,36,0,0,51,0
1624999300969,t3.123.33,first,1,458,0,458,42,42,0,0,0,0
1624999301427,t3.123.33,first,1,345,6,339,87,36,0,0,51,0
1624999301820,t3.123.33,first,1,527,0,527,87,36,0,0,51,0
1624999302362,t3.123.33,first,1,394,20,374,87,36,0,0,51,0
1624999302756,t3.123.33,first,1,304,15,289,56,24,0,0,32,0
1624999303062,t3.123.33,first,1,426,7,419,30,30,0,0,0,0
1624999303512,t3.123.33,first,1,497,0,497,36,36,0,0,0,0
1624999304040,t3.123.33,first,1,423,0,423,56,24,0,0,32,0
